adm2_name,m_concentration_ratio_7d,m_days_ge_10_7d,m_days_ge_20_7d,m_days_ge_50_7d,m_max_24h_7d,m_max_72h_7d,m_mean_wet_intensity_7d,m_peak_rank_24h_7d,m_peak_rank_72h_7d,m_rain_j,m_rain_jm1,m_rain_jm2,m_rain_jm3,m_rain_jp1,m_rain_jp2,m_rain_jp3,m_sum_72h_ref,m_sum_7d,m_wet_days_7d,event
Cité Soleil,0.3552077400813603,1.4346449728504402,0.0,0.0,11.27687447314651,27.44278027091524,8.66193368018666,-0.1061589805111939,-1.0,11.136012678165269,9.099174947203196,0.0,0.0,7.207593363484328,6.115665335791507,0.0,24.45927074396962,33.558445175717445,3.71732248642522,Inondations_f_v_2022
Corail,0.5657422169613444,1.9212729469622312,0.1590522033959488,0.0,18.523103168162432,33.185915551098084,14.712384288674754,-0.6008268822999571,-2.0,12.990757099124211,17.335326349610014,2.859832465677601,0.0,0.0,0.0,0.0,12.990757099124211,33.185915551098084,2.296258776103582,Inondations_f_v_2022
Cornillon / Grand Bois,0.6355897011061377,0.3272407998404503,0.0,0.0,8.84310601399941,14.023217853079265,7.440669783683989,-0.7600182729139885,-2.018509684880967,5.241622670118394,8.36414462965907,0.0,0.0,0.0,1.2072602442797469,0.0,6.4488829143981405,14.81302753563441,1.935607713747596,Inondations_f_v_2022
Croix-Des-Bouquets,0.4262091367489321,0.8012678640662372,0.0,0.0,10.241508426175788,22.97714681841367,8.233191838747732,-0.3784734584743774,-1.358283448420702,9.179818713634896,9.010003566816788,0.0,0.0,4.777364923598069,4.905434718175174,0.0,18.86261843126961,27.872622150537914,3.3101105598077445,Inondations_f_v_2022
Côteaux,0.239842034351575,0.4326244148219667,0.0,0.0,4.686432514483315,8.452941340165095,4.226470670082548,-1.7021267555341,-2.5673755851780333,4.686432514483315,3.766508789382785,0.0,0.0,0.0,0.0,0.0,4.686432514483315,8.452941340165095,0.8652488296439333,Inondations_f_v_2022
Côtes de Fer,0.5752486611476638,0.4344873987135422,0.0,0.0,10.74473357783002,18.749004926091853,8.772120900755253,-0.8063563358803129,-1.7328666484225943,7.532292384879553,9.985379646105551,0.0,0.0,1.1950672379927545,0.6975750026644482,0.0362657851794586,9.424934680498458,19.44657996675242,2.223013847536744,Inondations_f_v_2022
Dame Marie,0.4469521694437017,0.0237248147378087,0.0,0.0,7.329994258661857,13.575198102945018,6.762814801986972,-0.5046320784069558,-2.1682106928023184,7.329994258661857,6.245203891713168,0.0,0.0,0.0,0.1128658700748257,0.0,7.442860128736683,13.688063954635313,1.68231219056001,Inondations_f_v_2022
Delmas,0.3313894186351959,2.483532044711807,0.0,0.0,14.421023858581622,34.667882567248284,10.870984230824495,-0.2832204886638848,-1.0,14.045220076211535,11.66798504034909,0.0,0.0,8.954678343386151,8.816054831536507,0.0,31.81595269657927,43.48393692329799,4.0,Inondations_f_v_2022
Desdunes,0.5076101124286652,0.0,0.0,0.0,4.740983366966248,9.612838983535768,4.236323356628418,-0.25,-1.75,4.272895574569702,4.231663525104523,0.0,0.0,1.108280062675476,0.0,0.0,5.381175518035889,9.612838983535768,2.25,Inondations_f_v_2022
Dessalines,0.9115728065371512,0.0,0.0,0.0,5.053288835720823,5.915222186283873,4.899661022858427,-1.0,-2.7916666666666665,0.8619333406289419,5.053288835720823,0.0,0.0,0.0,0.0,0.0,0.8619333406289419,5.915222186283873,1.2083333333333333,Inondations_f_v_2022
Dondon,0.5969050959095665,0.0942176784901821,0.0942176784901821,0.0,10.795683068928955,15.720834318148652,8.547857882155327,-0.0383350206033481,-1.9305316340780792,5.62454539942333,6.454026094973026,0.0,0.0,0.0,6.3343184762721,0.0,11.958863952228276,18.41288984434965,2.081566385337781,Inondations_f_v_2022
Ennery,0.773020073639991,0.0,0.0,0.0,3.1560275968702936,3.308190223093107,3.153054153226143,-0.9283309118149992,-2.4738702375685424,2.192175539626438,1.1160146710070271,0.0,0.0,0.0,0.0,0.0,2.192175539626438,3.308190223093107,0.8119643065239577,Inondations_f_v_2022
Ferrier,0.4594716280698776,1.5,1.0,0.0,27.22987174987793,44.3588981628418,11.842851638793944,-1.0,-1.0,10.678536891937256,27.22987174987793,5.749013423919678,0.0,6.450488805770874,9.10634708404541,0.0,26.23537254333496,59.21425819396973,5.0,Inondations_f_v_2022
